title,author,rating,description,genre
왕과의 야행,보리,9.98,"젊은 왕과 아름다운 여인이 발을 사이에 두고 앉아있다.
가느다란 흰 손가락으로 책장을 넘기는 여인은
고혹적인 목소리로 글을 읽어 내려가는데...

전하. 음양이란 서로 감응해야 응하는 것이옵니다.
몸과 마음이 무르익어 한 배에 탄 채 애락을 느끼니
그 어찌 화락하지 않으오리까?

백일의 겨울밤 동안 왕에게 책을 읽어주는 여인.
아슬아슬한 긴장감 끝에 순식간에 휩쓸린다.
서로에게 깃들고 스며든다.

숨겨뒀던 비밀이 터져 나와 모든 것을 깨울 때까지
왕과 여인은 그저 꿈 안에 있구나.",로맨스
신화급 귀속 아이템을 손에 넣었다,정선율 / 헤스,9.91,"D급 무투계 레이더로 마법계 레이더들의 고기방패나 하며 별 볼 일 없이 살던 재현. 
그러던 어느 날, 던전에서 우연히 ""오딘의 눈"" 이라는 최강의 귀속 아이템을 얻게 됐다.
신의 눈을 가진 자, 세계를 구할 신의 대적자의 운명을 개척하라!",판타지
귀촌리,황양 / 이대한,9.93,"평범한 시골 마을 '귀촌리'를 찾은 '허무명'. 그는 돌아가신 할머니의 빈 집에 조용히 숨어든다. 
그런데 집이 이상하리만큼 깔끔하다. 할머니가 돌아가신 건 3년 전인데? 
어쩐지 마을 사람들은 이방인 무명의 방문을 달가워 하는 것 같지 않다. 아니, 실은 경계하는 것 같다. 
그리고 그 날을 기점으로 마을 사람들이 하나, 둘 씩 사라지기 시작한다.",스릴러
별난식당,HO9,9.96,"<요리GO>의 새로운 이야기,<별난식당>.
특급호텔에서 최연소 팀장에 오르며 승승장구하던 주인공 한별은 퇴사를 하고 작은 식당을 차린다.
그 식당의 이름은 '별난식당'.

별난식당은 상권이라고는 찾아볼 수 없는, 서울에서 제일 가난한 동네인 부자동에 위치해 있다.
또한 메뉴도 별나다. 바로 메뉴가 없기 때문이다. 메뉴가 없이 한별 셰프가 그때그때 제철 식재료를 이용해 요리를 만드는 식당이다.

이 식당의 특별한 점은 요리를 먹는 손님이 마음까지 위로 받는다는 것.
한별 셰프는 대체 어떠한 방법으로 마음의 상처가 있는 많은 손님들을 요리로 치유하는 것일까?",드라마
환생천마,JP / 부겸 / 장영훈,9.9,"철혈의 맹주, 강호의 절대자 '천하진'. 가문의 수치라 불리는 망나니 '벽리단'의 몸으로 깨어나다! 취미는 사기도박, 검은 창고에 박아둔지 오래. 하루아침에 천하제일인에서 천하의 쓰레기가 된 그는 다시 검을 잡고, 전생에서 이루지 못한 경지에 오르고자 한다.",무협/사극
우아한 욕망,김종건,9.91,"늦은 밤 열린 호텔 엘리베이터.
그 안에는 오래 전 첫사랑이 중년 여성과 함께 있었다.
낭만을 꿈꿔왔던 첫사랑과의 재회는 그저 배신감뿐.

부유한 중년 유부녀의 소유물이 된 첫사랑.
내 첫사랑이 나이 든 아줌마와 붙어먹는 그런 놈일리 없잖아.

내 첫사랑. 내 것으로 만들고야 말겠다.",로맨스
회귀한 공작가의 막내도련님은 암살자,스윙뱃 / 커피라임,9.92,"대륙 제일의 암살자 시안 베르트
평생을 믿고 따랐던 형에게 배신당한 뒤, 비참한 최후를 맞이한다.
만약 내게 한 번 더 생이 주어진다면 그때는 다른 삶을 살 것이다.
오로지 나 하나만을 바라보면서, 내 스스로 모든 것을 이룰 수 있는 누구도 섬기지 않는 그런 삶을. 
그렇게 맞이하게 된 두 번째 삶. 더 이상 남을 위해 살던 그림자 시안 베르트는 없다.
다시 쓰는 인생 나를 위한 모든 것을 이룩하리라!",판타지
수상한 다이어트 클럽,스프링,9.86,"모태 통통 ‘고양순’은 부모님의 등쌀에 못이겨 박박사 다이어트 클럽에 입소한다. 
어딘가 수상해 보이는 박박사지만, 그녀의 이력 만큼은 누구보다 확실하다. 
성공률 100%를 자랑하는 이곳의 퇴소 조건은 단 하나, ‘목표 체중을 다 감량해야만 하는 것!' 
과연 100kg가 넘는 양순 역시 다이어트에 성공, 웃으며 이곳을 나설 수 있을까?!",스릴러
어린이집 다니는 구나,구나,9.97,"""노는 게 제일 좋아!"" 라고 했더니 정말 노는 게 직업이 됐다?! 매일 동심의 세계로 출퇴근한지 어쩌다 10년째!
아이들이라면 알 만큼 안다고 생각했는데... 예측불가한 말과 행동들은 여전히 새롭기만 하다. 
그런 아이들에게 언제나 ""그랬구나"" 라고 말해주는,
10년차 프로공감러 구나가 들려주는 어린이집 선생님 이야기",일상
진주,"박만사, 백두 / 백승훈, 백두",9.91,"<통>, <독고>, <블러드레인> 백두 작가의 화제의 신작! 
퇴역한 전국구 주먹 ‘진주현’은 안암 판정을 받고 고향 진주로 내려가
‘현진주’를 만나 난생 처음 평범한 삶을 꿈꾼다. 
그러나 과거 몸담았던 뒷세계와의 지독한 악연은
그의 삶을 송두리째 흔들기 시작하는데...",드라마
마왕을 그만둔 이유,김대일 / 이상혁,9.68,"혼돈의 시대.
마왕은 665세기 동안 대를 걸쳐 인간 세계를 침공했다.
그 처절한 전쟁을 막아 낸 것은 용사들.
그들의 거룩한 희생 속에서 인류는 간신히 살아남았다.
 
하지만 이건 새로운 마왕의 이야기.
 
마왕 데미우르고스 666세.
그는 한 마디를 던지고 돌연 마계를 떠나 버렸다.
""마왕 따위 그만두겠어.""
가출 마왕과 그의 부하가 된 용사.
그가 마왕을 그만둔 진짜 이유는?",판타지
토마토가 돼라!,뮤리,9.97,껄렁한 겉모습으로 인해 음험한 소문을 몰고 다니는 시골 토박이 전학생 신이석은 첫눈에 반한 전교 1등 수재 조해주의 앙큼한 비밀을 목격하게 되고... 그에 대한 의문은 점차 눈덩이처럼 불어나기만 한다. 겉만 번지르르 붉고 속은 흰 사과 같은 조해주에게 진성 토마토 신이석의 짝사랑 폭격이 시작된다!,로맨스
개같이 탈출,갬쟈,9.94,"""살아남으라고? 나는 자그만 말티즈란 말이야!""

세상 따뜻하고 포근한 가정집에서 살아온 삐용이. 
언니 품에서 그저 귀엽기만 하면 되는 견생이었는데... 갑자기 가족들과 모든 인간이 사라져버렸다.
혼자서는 아무것도 할 줄 모르는데, 괴물 좀비 개들이 우글거리는 고립된 도시를 탈출해 언니를 만날 수 있을까?",드라마
녹빛자정의 연인,백작,9.96,"19세기말 자작가의 대저택.
그곳의 하인과 하녀인 에드가와 준.
연인 사이이자 평생을 함께할 거라 생각했던 어느 날,
자작가의 사생아 카메론의 등장으로 모든 게 어긋나기 시작하는데…",드라마
여고생이 신인데 나만 괴롭힘,박장고 / 이우,9.68,"그냥 인생이 재수 없는 줄 알았는데, 알고 보니 여고생이 내 인생을 조작해서 괴롭히고 있던 거임ㄷㄷ",드라마
악당 가족이 독립을 반대한다,밋츄 / 하티 / 이흰,9.97,"가족애 따위 없는 살벌한 악당 가문의 사생아 엘로디, 어느 날 갑자기 전생의 기억을 찾다!
자신이 환생한 이곳이 전생에 읽었던 소설 속이며
3년 후 진짜 여주인공이 나타나면서 자신은 악당 가족에게 버림받고 살해당할 운명임을 깨닫고
언니가 등장하기 전까지 적당히 뒷돈 챙기다가 이 가문에서 독립하자!고 생각했는데……
“독립? 그게 무슨 개소리지?”
“너한테 바람 불어 넣은 놈이 누구야.”
“누님, 혹시라도 가출할 생각은 아니겠지?”
가족들이 독립을 반대한다? 저 살고 싶은데요, 독립시켜 주세요!",로맨스
제왕,"김남규 / 애풍, 콘티메이커",9.92,"깡패, 검사, 국회의원...

절대 섞여서는 안 될
세 친구가 만들어 내는
30년 간의 핏빛 느와르.",액션
영업 천재가 되었다,혜림 / 댄킴,9.91,"나는 빚을 갚기 위해 당장 할 수 있는 일을 선택했고, 그게 내겐 영업이었다.
그리고 내게 다시 한 번의 기회가 주어졌다.",판타지
좀비묵시록 82-08,"달아 / 콘티메이커, 경우 / 박스오피스",9.75,"탕-!

의문의 선박 속
'그것'으로부터 시작된 괴이한 전염병은
서울을 죽음의 도시로 만들어버린다.

예고 없이 닥쳐온 심판의 그날부터
세상의 모든 질서는 완전히 리셋되었다.

처절한 생존 경쟁 속에서
프로젝트명 [좀비묵시록 82-08]이 시작된다.",액션
